Namespace(simulation='springs', num_train=50000, num_valid=10000, num_test=10000, length=5000, sample_freq=100, n_balls=5, seed=42, datadir='data/uninfluenced', temperature=0.1, temperature_dist=False, temperature_alpha=None, temperature_num_cats=None, undirected=False, fixed_particle=False, influencer_particle=False, confounder=False, uninfluenced_particle=True, fixed_connectivity=True, length_test=5000)
_springs5_uninfluenced_oneconnect
Generating 50000 training simulations
[5;30;41mEdges are fixed to be: [0m
[[0. 1. 1. 1. 0.]
 [0. 0. 1. 1. 1.]
 [0. 1. 0. 0. 0.]
 [0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0.]]
Iter: 0, Simulation time: 0.11396408081054688
Iter: 100, Simulation time: 0.11392784118652344
Iter: 200, Simulation time: 0.11347699165344238
Iter: 300, Simulation time: 0.1154942512512207
Iter: 400, Simulation time: 0.11404895782470703
Iter: 500, Simulation time: 0.11412501335144043
Iter: 600, Simulation time: 0.11376619338989258
Iter: 700, Simulation time: 0.11409711837768555
Iter: 800, Simulation time: 0.11611318588256836
Iter: 900, Simulation time: 0.11359786987304688
Iter: 1000, Simulation time: 0.11386489868164062
Iter: 1100, Simulation time: 0.11457991600036621
Iter: 1200, Simulation time: 0.11399602890014648
Iter: 1300, Simulation time: 0.11378312110900879
Iter: 1400, Simulation time: 0.11371588706970215
Iter: 1500, Simulation time: 0.11331009864807129
Iter: 1600, Simulation time: 0.11491823196411133
Iter: 1700, Simulation time: 0.11387276649475098
Iter: 1800, Simulation time: 0.11378216743469238
Iter: 1900, Simulation time: 0.11350870132446289
Iter: 2000, Simulation time: 0.11522698402404785
Iter: 2100, Simulation time: 0.11365199089050293
Iter: 2200, Simulation time: 0.11347579956054688
Iter: 2300, Simulation time: 0.11374807357788086
Iter: 2400, Simulation time: 0.11432695388793945
Iter: 2500, Simulation time: 0.11292171478271484
Iter: 2600, Simulation time: 0.11365604400634766
Iter: 2700, Simulation time: 0.11385178565979004
Iter: 2800, Simulation time: 0.11426782608032227
Iter: 2900, Simulation time: 0.11382699012756348
Iter: 3000, Simulation time: 0.11341309547424316
Iter: 3100, Simulation time: 0.11281681060791016
Iter: 3200, Simulation time: 0.11533117294311523
Iter: 3300, Simulation time: 0.11402201652526855
Iter: 3400, Simulation time: 0.11825990676879883
Iter: 3500, Simulation time: 0.11341691017150879
Iter: 3600, Simulation time: 0.11316394805908203
Iter: 3700, Simulation time: 0.11509299278259277
Iter: 3800, Simulation time: 0.11347508430480957
Iter: 3900, Simulation time: 0.11315298080444336
Iter: 4000, Simulation time: 0.11346888542175293
Iter: 4100, Simulation time: 0.11509370803833008
Iter: 4200, Simulation time: 0.11303091049194336
Iter: 4300, Simulation time: 0.1131429672241211
Iter: 4400, Simulation time: 0.11403489112854004
Iter: 4500, Simulation time: 0.11437702178955078
Iter: 4600, Simulation time: 0.1134181022644043
Iter: 4700, Simulation time: 0.11327219009399414
Iter: 4800, Simulation time: 0.11352300643920898
Iter: 4900, Simulation time: 0.11417603492736816
Iter: 5000, Simulation time: 0.11366510391235352
Iter: 5100, Simulation time: 0.11338973045349121
Iter: 5200, Simulation time: 0.11298108100891113
Iter: 5300, Simulation time: 0.11406207084655762
Iter: 5400, Simulation time: 0.11401200294494629
Iter: 5500, Simulation time: 0.1132652759552002
Iter: 5600, Simulation time: 0.11364483833312988
Iter: 5700, Simulation time: 0.11343574523925781
Iter: 5800, Simulation time: 0.11523580551147461
Iter: 5900, Simulation time: 0.1133580207824707
Iter: 6000, Simulation time: 0.11307191848754883
Iter: 6100, Simulation time: 0.11324095726013184
Iter: 6200, Simulation time: 0.11522197723388672
Iter: 6300, Simulation time: 0.11352896690368652
Iter: 6400, Simulation time: 0.11313509941101074
Iter: 6500, Simulation time: 0.11322879791259766
Iter: 6600, Simulation time: 0.11411809921264648
Iter: 6700, Simulation time: 0.11312365531921387
Iter: 6800, Simulation time: 0.11335277557373047
Iter: 6900, Simulation time: 0.11342716217041016
Iter: 7000, Simulation time: 0.11427831649780273
Iter: 7100, Simulation time: 0.11356687545776367
Iter: 7200, Simulation time: 0.11342692375183105
Iter: 7300, Simulation time: 0.11323118209838867
Iter: 7400, Simulation time: 0.11496710777282715
Iter: 7500, Simulation time: 0.11418008804321289
Iter: 7600, Simulation time: 0.11300301551818848
Iter: 7700, Simulation time: 0.1132960319519043
Iter: 7800, Simulation time: 0.11317300796508789
Iter: 7900, Simulation time: 0.11510801315307617
Iter: 8000, Simulation time: 0.1135702133178711
Iter: 8100, Simulation time: 0.11387300491333008
Iter: 8200, Simulation time: 0.11301398277282715
Iter: 8300, Simulation time: 0.1150357723236084
Iter: 8400, Simulation time: 0.11345505714416504
Iter: 8500, Simulation time: 0.11305403709411621
Iter: 8600, Simulation time: 0.11380219459533691
Iter: 8700, Simulation time: 0.11453890800476074
Iter: 8800, Simulation time: 0.11323189735412598
Iter: 8900, Simulation time: 0.1133880615234375
Iter: 9000, Simulation time: 0.113861083984375
Iter: 9100, Simulation time: 0.11465907096862793
Iter: 9200, Simulation time: 0.11368107795715332
Iter: 9300, Simulation time: 0.11311078071594238
Iter: 9400, Simulation time: 0.1126091480255127
Iter: 9500, Simulation time: 0.11394596099853516
Iter: 9600, Simulation time: 0.11414194107055664
Iter: 9700, Simulation time: 0.11327385902404785
Iter: 9800, Simulation time: 0.11360597610473633
Iter: 9900, Simulation time: 0.11313986778259277
Iter: 10000, Simulation time: 0.1146397590637207
Iter: 10100, Simulation time: 0.11331486701965332
Iter: 10200, Simulation time: 0.11349105834960938
Iter: 10300, Simulation time: 0.11303091049194336
Iter: 10400, Simulation time: 0.11529278755187988
Iter: 10500, Simulation time: 0.11361980438232422
Iter: 10600, Simulation time: 0.11327600479125977
Iter: 10700, Simulation time: 0.11373782157897949
Iter: 10800, Simulation time: 0.11460304260253906
Iter: 10900, Simulation time: 0.11308693885803223
Iter: 11000, Simulation time: 0.11337900161743164
Iter: 11100, Simulation time: 0.11382412910461426
Iter: 11200, Simulation time: 0.11439990997314453
Iter: 11300, Simulation time: 0.11499595642089844
Iter: 11400, Simulation time: 0.11350297927856445
Iter: 11500, Simulation time: 0.11309385299682617
Iter: 11600, Simulation time: 0.11453890800476074
Iter: 11700, Simulation time: 0.11420178413391113
Iter: 11800, Simulation time: 0.11287093162536621
Iter: 11900, Simulation time: 0.11357712745666504
Iter: 12000, Simulation time: 0.1131899356842041
Iter: 12100, Simulation time: 0.1149289608001709
Iter: 12200, Simulation time: 0.11333703994750977
Iter: 12300, Simulation time: 0.1135091781616211
Iter: 12400, Simulation time: 0.11289191246032715
Iter: 12500, Simulation time: 0.11503005027770996
Iter: 12600, Simulation time: 0.11344099044799805
Iter: 12700, Simulation time: 0.11302781105041504
Iter: 12800, Simulation time: 0.11362004280090332
Iter: 12900, Simulation time: 0.1164398193359375
Iter: 13000, Simulation time: 0.11293387413024902
Iter: 13100, Simulation time: 0.11318397521972656
Iter: 13200, Simulation time: 0.11351919174194336
Iter: 13300, Simulation time: 0.11415791511535645
Iter: 13400, Simulation time: 0.1138308048248291
Iter: 13500, Simulation time: 0.11428284645080566
Iter: 13600, Simulation time: 0.11275911331176758
Iter: 13700, Simulation time: 0.1140751838684082
Iter: 13800, Simulation time: 0.11356210708618164
Iter: 13900, Simulation time: 0.11300396919250488
Iter: 14000, Simulation time: 0.1136162281036377
Iter: 14100, Simulation time: 0.11358785629272461
Iter: 14200, Simulation time: 0.11519789695739746
Iter: 14300, Simulation time: 0.11412620544433594
Iter: 14400, Simulation time: 0.1134028434753418
Iter: 14500, Simulation time: 0.11292219161987305
Iter: 14600, Simulation time: 0.11526107788085938
Iter: 14700, Simulation time: 0.11330890655517578
Iter: 14800, Simulation time: 0.11295008659362793
Iter: 14900, Simulation time: 0.1132509708404541
Iter: 15000, Simulation time: 0.11685991287231445
Iter: 15100, Simulation time: 0.11354970932006836
Iter: 15200, Simulation time: 0.1132361888885498
Iter: 15300, Simulation time: 0.1135721206665039
Iter: 15400, Simulation time: 0.1141819953918457
Iter: 15500, Simulation time: 0.11330103874206543
Iter: 15600, Simulation time: 0.11392593383789062
Iter: 15700, Simulation time: 0.11338305473327637
Iter: 15800, Simulation time: 0.11472010612487793
Iter: 15900, Simulation time: 0.11409401893615723
Iter: 16000, Simulation time: 0.11325597763061523
Iter: 16100, Simulation time: 0.11375093460083008
Iter: 16200, Simulation time: 0.11317920684814453
Iter: 16300, Simulation time: 0.11480593681335449
Iter: 16400, Simulation time: 0.11356806755065918
Iter: 16500, Simulation time: 0.1134042739868164
Iter: 16600, Simulation time: 0.11344003677368164
Iter: 16700, Simulation time: 0.11527514457702637
Iter: 16800, Simulation time: 0.11354804039001465
Iter: 16900, Simulation time: 0.11326098442077637
Iter: 17000, Simulation time: 0.11401915550231934
Iter: 17100, Simulation time: 0.11408710479736328
Iter: 17200, Simulation time: 0.11332297325134277
Iter: 17300, Simulation time: 0.11333417892456055
Iter: 17400, Simulation time: 0.11324000358581543
Iter: 17500, Simulation time: 0.11412978172302246
Iter: 17600, Simulation time: 0.11328315734863281
Iter: 17700, Simulation time: 0.11356687545776367
Iter: 17800, Simulation time: 0.11327719688415527
Iter: 17900, Simulation time: 0.11424112319946289
Iter: 18000, Simulation time: 0.11423993110656738
Iter: 18100, Simulation time: 0.11359000205993652
Iter: 18200, Simulation time: 0.11371803283691406
Iter: 18300, Simulation time: 0.11321377754211426
Iter: 18400, Simulation time: 0.1148068904876709
Iter: 18500, Simulation time: 0.11353206634521484
Iter: 18600, Simulation time: 0.11336684226989746
Iter: 18700, Simulation time: 0.11305022239685059
Iter: 18800, Simulation time: 0.11545491218566895
Iter: 18900, Simulation time: 0.11331820487976074
Iter: 19000, Simulation time: 0.11282610893249512
Iter: 19100, Simulation time: 0.11300802230834961
Iter: 19200, Simulation time: 0.1139991283416748
Iter: 19300, Simulation time: 0.11289787292480469
Iter: 19400, Simulation time: 0.11315512657165527
Iter: 19500, Simulation time: 0.1133871078491211
Iter: 19600, Simulation time: 0.11408591270446777
Iter: 19700, Simulation time: 0.11322498321533203
Iter: 19800, Simulation time: 0.11384797096252441
Iter: 19900, Simulation time: 0.11310482025146484
Iter: 20000, Simulation time: 0.1143348217010498
Iter: 20100, Simulation time: 0.11380720138549805
Iter: 20200, Simulation time: 0.11281299591064453
Iter: 20300, Simulation time: 0.11377978324890137
Iter: 20400, Simulation time: 0.11362099647521973
Iter: 20500, Simulation time: 0.11466598510742188
Iter: 20600, Simulation time: 0.11340212821960449
Iter: 20700, Simulation time: 0.1138460636138916
Iter: 20800, Simulation time: 0.11338305473327637
Iter: 20900, Simulation time: 0.11503410339355469
Iter: 21000, Simulation time: 0.11376786231994629
Iter: 21100, Simulation time: 0.11297082901000977
Iter: 21200, Simulation time: 0.11333012580871582
Iter: 21300, Simulation time: 0.11423301696777344
Iter: 21400, Simulation time: 0.11337971687316895
Iter: 21500, Simulation time: 0.1132349967956543
Iter: 21600, Simulation time: 0.11347579956054688
Iter: 21700, Simulation time: 0.11407780647277832
Iter: 21800, Simulation time: 0.11339116096496582
Iter: 21900, Simulation time: 0.1133260726928711
Iter: 22000, Simulation time: 0.11298084259033203
Iter: 22100, Simulation time: 0.1147007942199707
Iter: 22200, Simulation time: 0.11390399932861328
Iter: 22300, Simulation time: 0.1131601333618164
Iter: 22400, Simulation time: 0.11367917060852051
Iter: 22500, Simulation time: 0.11318397521972656
Iter: 22600, Simulation time: 0.11471796035766602
Iter: 22700, Simulation time: 0.11326289176940918
Iter: 22800, Simulation time: 0.1133270263671875
Iter: 22900, Simulation time: 0.11282801628112793
Iter: 23000, Simulation time: 0.1151728630065918
Iter: 23100, Simulation time: 0.11364293098449707
Iter: 23200, Simulation time: 0.11326003074645996
Iter: 23300, Simulation time: 0.1130979061126709
Iter: 23400, Simulation time: 0.11394906044006348
Iter: 23500, Simulation time: 0.11293387413024902
Iter: 23600, Simulation time: 0.11332511901855469
Iter: 23700, Simulation time: 0.11328673362731934
Iter: 23800, Simulation time: 0.11452198028564453
Iter: 23900, Simulation time: 0.11335086822509766
Iter: 24000, Simulation time: 0.11328530311584473
Iter: 24100, Simulation time: 0.11292695999145508
Iter: 24200, Simulation time: 0.1143348217010498
Iter: 24300, Simulation time: 0.11367917060852051
Iter: 24400, Simulation time: 0.11265993118286133
Iter: 24500, Simulation time: 0.11359500885009766
Iter: 24600, Simulation time: 0.11334490776062012
Iter: 24700, Simulation time: 0.11491107940673828
Iter: 24800, Simulation time: 0.11378097534179688
Iter: 24900, Simulation time: 0.11332011222839355
Iter: 25000, Simulation time: 0.11337494850158691
Iter: 25100, Simulation time: 0.11562085151672363
Iter: 25200, Simulation time: 0.11371898651123047
Iter: 25300, Simulation time: 0.11364197731018066
Iter: 25400, Simulation time: 0.11357498168945312
Iter: 25500, Simulation time: 0.11464309692382812
Iter: 25600, Simulation time: 0.11338424682617188
Iter: 25700, Simulation time: 0.11337089538574219
Iter: 25800, Simulation time: 0.11347818374633789
Iter: 25900, Simulation time: 0.11455678939819336
