Namespace(simulation='springs', num_train=50000, num_valid=10000, num_test=10000, length=5000, sample_freq=100, n_balls=5, seed=42, datadir='data/test', temperature=0.1, temperature_dist=False, temperature_alpha=None, temperature_num_cats=None, undirected=False, fixed_particle=False, influencer_particle=False, confounder=False, uninfluenced_particle=True, fixed_connectivity=True, noise_var=0.0, length_test=5000)
_springs5_uninfluenced2_oneconnect
Generating 50000 training simulations
[5;30;41mEdges are fixed to be: [0m
[[0. 1. 1. 1. 0.]
 [0. 0. 1. 1. 1.]
 [0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]
Iter: 0, Simulation time: 0.2549152374267578
Iter: 100, Simulation time: 0.2551271915435791
Iter: 200, Simulation time: 0.25321197509765625
Iter: 300, Simulation time: 0.25333714485168457
Iter: 400, Simulation time: 0.2540419101715088
Iter: 500, Simulation time: 0.2534210681915283
Iter: 600, Simulation time: 0.2553269863128662
Iter: 700, Simulation time: 0.2529020309448242
Iter: 800, Simulation time: 0.25182509422302246
Iter: 900, Simulation time: 0.2538487911224365
Iter: 1000, Simulation time: 0.25722599029541016
Iter: 1100, Simulation time: 0.25394105911254883
Iter: 1200, Simulation time: 0.25565004348754883
Iter: 1300, Simulation time: 0.25227904319763184
Iter: 1400, Simulation time: 0.25544285774230957
Iter: 1500, Simulation time: 0.253525972366333
Iter: 1600, Simulation time: 0.254396915435791
Iter: 1700, Simulation time: 0.2545740604400635
Iter: 1800, Simulation time: 0.2558319568634033
Iter: 1900, Simulation time: 0.25583386421203613
Iter: 2000, Simulation time: 0.25508785247802734
Iter: 2100, Simulation time: 0.2540750503540039
Iter: 2200, Simulation time: 0.2546348571777344
Iter: 2300, Simulation time: 0.2535398006439209
Iter: 2400, Simulation time: 0.2568378448486328
Iter: 2500, Simulation time: 0.25171399116516113
Iter: 2600, Simulation time: 0.25098276138305664
Iter: 2700, Simulation time: 0.25702619552612305
Iter: 2800, Simulation time: 0.25395989418029785
Iter: 2900, Simulation time: 0.25339603424072266
Iter: 3000, Simulation time: 0.2534301280975342
Iter: 3100, Simulation time: 0.25417613983154297
Iter: 3200, Simulation time: 0.25407886505126953
Iter: 3300, Simulation time: 0.2525629997253418
Iter: 3400, Simulation time: 0.25499796867370605
Iter: 3500, Simulation time: 0.2558741569519043
Iter: 3600, Simulation time: 0.25360584259033203
Iter: 3700, Simulation time: 0.2520577907562256
Iter: 3800, Simulation time: 0.2543470859527588
Iter: 3900, Simulation time: 0.25457310676574707
Iter: 4000, Simulation time: 0.2553441524505615
Iter: 4100, Simulation time: 0.2538940906524658
Iter: 4200, Simulation time: 0.2534830570220947
Iter: 4300, Simulation time: 0.2519409656524658
Iter: 4400, Simulation time: 0.2541329860687256
Iter: 4500, Simulation time: 0.3056347370147705
Iter: 4600, Simulation time: 0.25393009185791016
Iter: 4700, Simulation time: 0.2537069320678711
Iter: 4800, Simulation time: 0.2567451000213623
Iter: 4900, Simulation time: 0.25392985343933105
Iter: 5000, Simulation time: 0.2537810802459717
Iter: 5100, Simulation time: 0.25447797775268555
Iter: 5200, Simulation time: 0.2572050094604492
Iter: 5300, Simulation time: 0.2521791458129883
Iter: 5400, Simulation time: 0.2547619342803955
Iter: 5500, Simulation time: 0.25301098823547363
Iter: 5600, Simulation time: 0.2583940029144287
Iter: 5700, Simulation time: 0.254227876663208
Iter: 5800, Simulation time: 0.25261592864990234
Iter: 5900, Simulation time: 0.25168609619140625
Iter: 6000, Simulation time: 0.2552061080932617
Iter: 6100, Simulation time: 0.2548091411590576
Iter: 6200, Simulation time: 0.2541801929473877
Iter: 6300, Simulation time: 0.2543370723724365
Iter: 6400, Simulation time: 0.25341320037841797
Iter: 6500, Simulation time: 0.2526209354400635
Iter: 6600, Simulation time: 0.2535591125488281
Iter: 6700, Simulation time: 0.2541067600250244
Iter: 6800, Simulation time: 0.25197505950927734
Iter: 6900, Simulation time: 0.2581980228424072
Iter: 7000, Simulation time: 0.25366926193237305
Iter: 7100, Simulation time: 0.25412511825561523
Iter: 7200, Simulation time: 0.25318408012390137
Iter: 7300, Simulation time: 0.2543370723724365
Iter: 7400, Simulation time: 0.2540769577026367
Iter: 7500, Simulation time: 0.2540731430053711
Iter: 7600, Simulation time: 0.254730224609375
Iter: 7700, Simulation time: 0.25567007064819336
Iter: 7800, Simulation time: 0.254223108291626
Iter: 7900, Simulation time: 0.25374412536621094
Iter: 8000, Simulation time: 0.25278806686401367
Iter: 8100, Simulation time: 0.25337815284729004
Iter: 8200, Simulation time: 0.2555358409881592
Iter: 8300, Simulation time: 0.2534952163696289
Iter: 8400, Simulation time: 0.25476789474487305
Iter: 8500, Simulation time: 0.25512194633483887
Iter: 8600, Simulation time: 0.25234365463256836
Iter: 8700, Simulation time: 0.2538869380950928
Iter: 8800, Simulation time: 0.25380587577819824
Iter: 8900, Simulation time: 0.267103910446167
Iter: 9000, Simulation time: 0.25547122955322266
Iter: 9100, Simulation time: 0.2529730796813965
Iter: 9200, Simulation time: 0.25252509117126465
Iter: 9300, Simulation time: 0.2516636848449707
Iter: 9400, Simulation time: 0.25461483001708984
Iter: 9500, Simulation time: 0.2540721893310547
Iter: 9600, Simulation time: 0.264401912689209
Iter: 9700, Simulation time: 0.2542431354522705
Iter: 9800, Simulation time: 0.2553110122680664
Iter: 9900, Simulation time: 0.2536900043487549
Iter: 10000, Simulation time: 0.2537662982940674
Iter: 10100, Simulation time: 0.2522470951080322
Iter: 10200, Simulation time: 0.2550530433654785
Iter: 10300, Simulation time: 0.2548201084136963
Iter: 10400, Simulation time: 0.25272202491760254
Iter: 10500, Simulation time: 0.2523512840270996
Iter: 10600, Simulation time: 0.2531261444091797
Iter: 10700, Simulation time: 0.27022886276245117
Iter: 10800, Simulation time: 0.2542409896850586
Iter: 10900, Simulation time: 0.2563350200653076
Iter: 11000, Simulation time: 0.25193095207214355
Iter: 11100, Simulation time: 0.2568037509918213
Iter: 11200, Simulation time: 0.2509009838104248
Iter: 11300, Simulation time: 0.2539072036743164
Iter: 11400, Simulation time: 0.2535109519958496
Iter: 11500, Simulation time: 0.25215911865234375
Iter: 11600, Simulation time: 0.25267910957336426
Iter: 11700, Simulation time: 0.25214314460754395
Iter: 11800, Simulation time: 0.25411105155944824
Iter: 11900, Simulation time: 0.2553260326385498
Iter: 12000, Simulation time: 0.2529721260070801
Iter: 12100, Simulation time: 0.2520768642425537
Iter: 12200, Simulation time: 0.25215697288513184
Iter: 12300, Simulation time: 0.25498127937316895
Iter: 12400, Simulation time: 0.2533128261566162
Iter: 12500, Simulation time: 0.2506091594696045
Iter: 12600, Simulation time: 0.2529871463775635
Iter: 12700, Simulation time: 0.2537529468536377
Iter: 12800, Simulation time: 0.25415706634521484
Iter: 12900, Simulation time: 0.2526357173919678
Iter: 13000, Simulation time: 0.2535219192504883
Iter: 13100, Simulation time: 0.25391578674316406
Iter: 13200, Simulation time: 0.2567570209503174
Iter: 13300, Simulation time: 0.2538599967956543
Iter: 13400, Simulation time: 0.25348401069641113
Iter: 13500, Simulation time: 0.2537209987640381
Iter: 13600, Simulation time: 0.2534918785095215
Iter: 13700, Simulation time: 0.2537841796875
Iter: 13800, Simulation time: 0.2531747817993164
Iter: 13900, Simulation time: 0.2551589012145996
Iter: 14000, Simulation time: 0.25600576400756836
Iter: 14100, Simulation time: 0.2521650791168213
Iter: 14200, Simulation time: 0.3041727542877197
Iter: 14300, Simulation time: 0.2518768310546875
Iter: 14400, Simulation time: 0.2961239814758301
Iter: 14500, Simulation time: 0.7005438804626465
Iter: 14600, Simulation time: 0.32105588912963867
Iter: 14700, Simulation time: 0.259580135345459
Iter: 14800, Simulation time: 0.2603468894958496
Iter: 14900, Simulation time: 0.25647807121276855
Iter: 15000, Simulation time: 0.25342512130737305
Iter: 15100, Simulation time: 0.2549479007720947
Iter: 15200, Simulation time: 0.2526679039001465
Iter: 15300, Simulation time: 0.2564408779144287
Iter: 15400, Simulation time: 0.25321006774902344
Iter: 15500, Simulation time: 0.2554049491882324
Iter: 15600, Simulation time: 0.25691819190979004
Iter: 15700, Simulation time: 0.25522518157958984
Iter: 15800, Simulation time: 0.30925416946411133
Iter: 15900, Simulation time: 0.25392889976501465
Iter: 16000, Simulation time: 0.2550520896911621
Iter: 16100, Simulation time: 0.25715184211730957
Iter: 16200, Simulation time: 0.2541940212249756
Iter: 16300, Simulation time: 0.2543160915374756
Iter: 16400, Simulation time: 0.25185203552246094
Iter: 16500, Simulation time: 0.2592141628265381
Iter: 16600, Simulation time: 0.2556641101837158
Iter: 16700, Simulation time: 0.25489211082458496
Iter: 16800, Simulation time: 0.25531601905822754
Iter: 16900, Simulation time: 0.2538931369781494
Iter: 17000, Simulation time: 0.2542562484741211
Iter: 17100, Simulation time: 0.25243115425109863
Iter: 17200, Simulation time: 0.2577230930328369
Iter: 17300, Simulation time: 0.2625908851623535
Iter: 17400, Simulation time: 0.25727295875549316
Iter: 17500, Simulation time: 0.25406789779663086
Iter: 17600, Simulation time: 0.2545590400695801
Iter: 17700, Simulation time: 0.25529026985168457
Iter: 17800, Simulation time: 0.25432920455932617
Iter: 17900, Simulation time: 0.2524399757385254
Iter: 18000, Simulation time: 0.25408101081848145
Iter: 18100, Simulation time: 0.2552318572998047
Iter: 18200, Simulation time: 0.2556600570678711
Iter: 18300, Simulation time: 0.25606203079223633
Iter: 18400, Simulation time: 0.253399133682251
Iter: 18500, Simulation time: 0.2543323040008545
Iter: 18600, Simulation time: 0.2561519145965576
Iter: 18700, Simulation time: 0.2542417049407959
Iter: 18800, Simulation time: 0.2556338310241699
Iter: 18900, Simulation time: 0.25528979301452637
Iter: 19000, Simulation time: 0.2547452449798584
Iter: 19100, Simulation time: 0.25482869148254395
